id_serie,routine,fecha,exercise,repmin,repmax,repreal,weight,rir,comment,workload,pct_strenght,target_min,target_max,technique,exercise_no_tempo,real_weight,fecha_prev,peso_prev,delta_daily,fecha_next,peso_at_moment,year_week,year_month,dayofweek,effective_set,repreal_effective,training_days_on_week,reps_potential,1rm,is_maxrm,repreal_range,rir_range,progress_tracker
0,Upper I,2023-01-16,Low cable crossover,6.0,12.0,10,10.0,1,,100.0,,,,,Low cable crossover,10.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,10,4,11,,0.0,Hipertrofía-Fuerza,1|2|3,
1,Upper I,2023-01-16,Low cable crossover,6.0,12.0,10,10.0,3,,100.0,,,,,Low cable crossover,10.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,10,4,13,,0.0,Hipertrofía-Fuerza,1|2|3,
2,Upper I,2023-01-16,Low cable crossover,6.0,12.0,10,10.0,4,,100.0,,,,,Low cable crossover,10.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,10,4,14,,0.0,Hipertrofía-Fuerza,4,
3,Upper I,2023-01-16,Chin-ups,1.0,,1,100.0,1,,100.0,,,,,Chin-ups,110.1,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,1,4,2,113.2,0.0,Fuerza,1|2|3,
4,Upper I,2023-01-16,Chin-ups,5.0,,5,80.0,5,,400.0,,,,,Chin-ups,90.1,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,0,0,4,10,,0.0,Fuerza,+5,
5,Upper I,2023-01-16,Chin-ups,3.0,,3,90.0,5,,270.0,,,,,Chin-ups,100.1,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,0,0,4,8,124.3,0.0,Fuerza,+5,
6,Upper I,2023-01-16,Chin-ups,-1.0,,10,60.0,5,,600.0,,,,,Chin-ups,70.1,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,0,0,4,15,,0.0,Hipertrofía-Fuerza,+5,
7,Upper I,2023-01-16,Parallel bar dips,6.0,12.0,9,95.0,2,,855.0,,,,,Parallel bar dips,105.1,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,9,4,11,,0.0,Hipertrofía-Fuerza,1|2|3,Compound
8,Upper I,2023-01-16,Parallel bar dips,6.0,12.0,9,95.0,2,,855.0,,,,,Parallel bar dips,105.1,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,9,4,11,,0.0,Hipertrofía-Fuerza,1|2|3,Compound
9,Upper I,2023-01-16,Parallel bar dips,6.0,12.0,10,95.0,3,,950.0,,,,,Parallel bar dips,105.1,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,10,4,13,,0.0,Hipertrofía-Fuerza,1|2|3,Compound
10,Upper I,2023-01-16,Dumbbell lateral raise,6.0,12.0,6,12.0,0,,72.0,,,,,Dumbbell lateral raise,12.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,6,4,6,,0.0,Fuerza,F|0,Isolate
11,Upper I,2023-01-16,Dumbbell lateral raise,6.0,12.0,10,10.0,0,,100.0,,,,,Dumbbell lateral raise,10.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,10,4,10,,0.0,Hipertrofía-Fuerza,F|0,Isolate
12,Upper I,2023-01-16,Dumbbell lateral raise,6.0,12.0,10,10.0,0,,100.0,,,,,Dumbbell lateral raise,10.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,10,4,10,,0.0,Hipertrofía-Fuerza,F|0,Isolate
13,Upper I,2023-01-16,Dumbbell shoulder press,6.0,12.0,6,20.0,0,,120.0,,,,,Dumbbell shoulder press,20.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,6,4,6,,0.0,Fuerza,F|0,
14,Upper I,2023-01-16,Dumbbell shoulder press,6.0,12.0,8,20.0,1,,160.0,,,,,Dumbbell shoulder press,20.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,8,4,9,,0.0,Hipertrofía-Fuerza,1|2|3,
15,Upper I,2023-01-16,Dumbbell shoulder press,6.0,12.0,6,20.0,1,,120.0,,,,,Dumbbell shoulder press,20.0,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,6,4,7,,0.0,Fuerza,1|2|3,
16,Upper I,2023-01-16,Hammer curl,6.0,12.0,8,26.5,0,,212.0,,,,,Hammer curl,26.5,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,8,4,8,,0.0,Hipertrofía-Fuerza,F|0,
17,Upper I,2023-01-16,Hammer curl,6.0,12.0,7,26.5,0,,185.5,,,,,Hammer curl,26.5,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,7,4,7,,0.0,Hipertrofía-Fuerza,F|0,
18,Upper I,2023-01-16,Hammer curl,6.0,12.0,6,26.5,0,,159.0,,,,,Hammer curl,26.5,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,6,4,6,,0.0,Fuerza,F|0,
19,Upper I,2023-01-16,Rope triceps extension,8.0,15.0,9,22.5,0,,202.5,,,,,Rope triceps extension,22.5,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,9,4,9,,0.0,Hipertrofía-Fuerza,F|0,
20,Upper I,2023-01-16,Rope triceps extension,8.0,15.0,9,22.5,0,,202.5,,,,,Rope triceps extension,22.5,2023-01-16,70.1,0.014,2023-01-23,70.1,2023-W03,2023-01,0,1,9,4,9,,0.0,Hipertrofía-Fuerza,F|0,
