Routine,id_serie,Exercise,Rep_T_Min,Rep_T_Max,Agonista_1,Agonista_2,Agonista_3,Estabilizador_1,Estabilizador_2,Sinergista fuerte_1,Sinergista fuerte_2,Sinergista leve_1,Sinergista leve_2
Upper I,1,Parallel Bar Dips,,,Tríceps,,,,,Pectorales,,Deltoides anteriores,
Upper I,2,Parallel Bar Dips,,,Tríceps,,,,,Pectorales,,Deltoides anteriores,
Upper I,3,Parallel Bar Dips,,,Tríceps,,,,,Pectorales,,Deltoides anteriores,
Upper I,4,Chin-ups,4,6,Dorsales,,,Core,,Bíceps,,Deltoides posteriores,
Upper I,5,Chin-ups,4,6,Dorsales,,,Core,,Bíceps,,Deltoides posteriores,
Upper I,6,Chin-ups,4,6,Dorsales,,,Core,,Bíceps,,Deltoides posteriores,
Upper I,7,Chin-ups,4,6,Dorsales,,,Core,,Bíceps,,Deltoides posteriores,
Upper I,8,Low cable bicep curl,8,12,Bíceps,,,,,,,,
Upper I,9,Low cable bicep curl,8,12,Bíceps,,,,,,,,
Upper I,10,Low cable bicep curl,8,12,Bíceps,,,,,,,,
Upper I,11,Low cable bicep curl,8,12,Bíceps,,,,,,,,
Upper I,12,Cable Triceps Extension,10,15,Tríceps,,,,,,,,
Upper I,13,Cable Triceps Extension,10,15,Tríceps,,,,,,,,
Upper I,14,Cable Triceps Extension,10,15,Tríceps,,,,,,,,
Upper I,15,Cable Triceps Extension,10,15,Tríceps,,,,,,,,
Upper I,16,Lying Cable Lateral Raise,10,15,Deltoides medio,,,,,,,,
Upper I,17,Lying Cable Lateral Raise,10,15,Deltoides medio,,,,,,,,
Upper I,18,Lying Cable Lateral Raise,10,15,Deltoides medio,,,,,,,,
Upper I,19,Lying Cable Lateral Raise,10,15,Deltoides medio,,,,,,,,
Upper I,20,Lying Cable Lateral Raise,Myo,,Deltoides medio,,,,,,,,
Upper I,21,Cable Rear Delt Fly,10,15,Deltoides posteriores,,,,,,,,
Upper I,22,Cable Rear Delt Fly,10,15,Deltoides posteriores,,,,,,,,
Upper I,23,Cable Rear Delt Fly,10,15,Deltoides posteriores,,,,,,,,
Upper I,24,Cable Rear Delt Fly,10,15,Deltoides posteriores,,,,,,,,
Leg I,1,Leg extension,8,12,Cuádriceps,,,,,,,,
Leg I,2,Leg extension,8,12,Cuádriceps,,,,,,,,
Leg I,3,Leg extension,8,12,Cuádriceps,,,,,,,,
Leg I,4,Leg extension,8,12,Cuádriceps,,,,,,,,
Leg I,5,Leg extension,8,12,Cuádriceps,,,,,,,,
Leg I,6,Machine Leg Curl,8,12,Isquiostibiales,,,,,,,,
Leg I,7,Machine Leg Curl,8,12,Isquiostibiales,,,,,,,,
Leg I,8,Machine Leg Curl,8,12,Isquiostibiales,,,,,,,,
Leg I,9,Calf Raise on Machine,10,15,Gemelos,,,,,,,,
Leg I,10,Calf Raise on Machine,10,15,Gemelos,,,,,,,,
Leg I,11,Calf Raise on Machine,10,15,Gemelos,,,,,,,,
Leg I,12,Calf Raise on Machine,10,15,Gemelos,,,,,,,,
Leg I,13,Calf Raise on Machine,10,15,Gemelos,,,,,,,,
